Name,User,Artist,Playlist,Playlist ID,lyrics
Wandered To LA (with Justin Bieber),Hassan,"['Juice WRLD', 'Justin Bieber']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Doom,Hassan,['Juice WRLD'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Not Enough,Hassan,['Juice WRLD'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Girl Of My Dreams (with SUGA of BTS),Hassan,"['Juice WRLD', 'SUGA', 'BTS']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
wannabe,Hassan,['renforshort'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
"fuck, i luv my friends",Hassan,['renforshort'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Bang My Line,Hassan,"['Pretty Pacc', '6 Dogs', 'Luke Wave']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
NEVER MET! (feat. Glitch Gum),Hassan,"['CMTEN', 'Glitch Gum']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
lead me on,Hassan,['sammy rash'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
IT'S OK,Hassan,['Daniyel'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
burbank house,Hassan,['tsubi club'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
I WON'T COMPLAIN (feat. Tom The Mail Man),Hassan,"['44phantom', 'Tom The Mail Man']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
crazy,Hassan,['Zac Greer'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Sunroof,Hassan,"['Nicky Youre', 'dazy']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
let you,Hassan,['iann dior'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Life Goes On (feat. Trippie Redd & Ski Mask The Slump God),Hassan,"['Oliver Tree', 'Trippie Redd', 'Ski Mask The Slump God']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
OH WELL,Hassan,['Christian French'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
More Than Friends,Hassan,['24kGoldn'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Cool Kids,Hassan,['Justus Bennetts'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
hurt myself,Hassan,"['Tommy Ice', 'Powfu']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
best friends,Hassan,['sammy rash'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Down & Out,Hassan,"['Landon Cube', 'raspy', 'SypSki']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
"he's not your boyfriend, he's your boy friend",Hassan,['remy'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Icee Pop,Hassan,['Nic D'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Stoked,Hassan,['Weston Estate'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Alienated,Hassan,"['sleep.ing', 'Powfu']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Overload,Hassan,"['YOG$', 'Felly', 'Ollie']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
BOUNTY HUNTER,Hassan,['Aries'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Let's go to Hell,Hassan,['Tai Verdes'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Speed Limit,Hassan,"['Ollie', 'Powfu']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
god of the sunsets,Hassan,['SEB'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Track Shoes,Hassan,['Rence'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Secrets,Hassan,['Landon Cube'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
summer&cigarettes,Hassan,['sammy rash'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
time flies,Hassan,['dempsey hope'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Faithful (feat. Marc E. Bassy),Hassan,"['G-Eazy', 'Marc E. Bassy']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,
stranger to me,Hassan,['Zachary Knowles'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Mexico City,Hassan,['Quinn XCII'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
Never Go Back,Hassan,['Dennis Lloyd'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
dancing in the kitchen,Hassan,['Zachary Knowles'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
17,Hassan,['Lauren Sanderson'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,
KIDS ON MOLLY,Hassan,['Aries'],mmmm,2oJXsocS17seGF29iYq2IT,
1984,Hassan,['glaive'],mmmm,2oJXsocS17seGF29iYq2IT,
fuck this town,Hassan,"['glaive', 'ericdoa']",mmmm,2oJXsocS17seGF29iYq2IT,
Cheater (feat. Tom The Mail Man),Hassan,"['SAIAH', 'Tom The Mail Man']",mmmm,2oJXsocS17seGF29iYq2IT,
Toxicity,Hassan,['Global Dan'],mmmm,2oJXsocS17seGF29iYq2IT,
Dawg Shit,Hassan,"['Pretty Pacc', '6 Dogs']",mmmm,2oJXsocS17seGF29iYq2IT,
Someday,Hassan,"['YOG$', 'MASN', 'Tiffany Day']",mmmm,2oJXsocS17seGF29iYq2IT,
fantasize,Hassan,['ericdoa'],mmmm,2oJXsocS17seGF29iYq2IT,
9 LIVES,Hassan,['Ramzoid'],mmmm,2oJXsocS17seGF29iYq2IT,
hate me,Hassan,['iamjakehill'],mmmm,2oJXsocS17seGF29iYq2IT,
"Summertime 1, 2",Hassan,"['Brasstracks', 'Yung Pinch', 'Rothstein']",mmmm,2oJXsocS17seGF29iYq2IT,
Selfish,Hassan,['Lxst'],mmmm,2oJXsocS17seGF29iYq2IT,
Made It Back,Hassan,['midwxst'],mmmm,2oJXsocS17seGF29iYq2IT,
dog eat dog,Hassan,"['aldn', 'renforshort']",mmmm,2oJXsocS17seGF29iYq2IT,
Don't Talk,Hassan,['MASN'],mmmm,2oJXsocS17seGF29iYq2IT,
