Name,User,Artist,Playlist,Playlist ID,Lyrics,Tokenized Lyrics,Sentiment Score
Wandered To LA (with Justin Bieber),Hassan,"['Juice WRLD', 'Justin Bieber']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Today’s Top Hits 12/17/21 (feat. The Kid LAROI & Justin Bieber) Lyrics1. GAYLE - abcdefu (=)

2. Adele - Easy On Me (+3)

3. The Kid LAROI - Stay (with Justin Bieber) (-1)

4. Ed Sheeran - Shivers (-1)

5. Elton John & Dua Lipa - Cold Heart (PNAU Remix) (+5)

6. Glass Animals - Heat Waves (=)
7. Lil Nas X - INDUSTRY BABY (feat. Jack Harlow) (=)

8. CKay - love nwantiti (ah ah ah) (+1)

9. ACRAZE & Cherish - Do It To It (+3)

10. Doja Cat - Woman (+1)

11. SZA - I Hate U (-7)

12. Justin Bieber - Ghost (+2)

13. Post Malone - One Right Now (with The Weeknd) (=)

14. Coldplay & BTS - My Universe (+4)

15. Imagine Dragons - Enemy (with JID) (+4)

16. Juice WRLD - Girl Of My Dreams (with SUGA of BTS) (-8)

17. Bruno Mars, Andersson .Paak & Silk Sonic - Smokin Out The Window (-2)

18. Ed Sheeran - Bad Habits (-1)

19. Jaymes Young - Infinity (+3)
20. Adele - Oh My God (-4)

21. Farruko - Pepas (=)

22. FKA twigs - Tears In The Club (with The Weeknd) (NEW)

23. Doja Cat - Need To Know (+5)

24. Emmy Meli - I AM WOMAN (+6)

25. Lost Frequencies & Calum Scott - Where Are You Now (=)

26. Tiësto & Ava Max - The Motto (NEW)

27. Lil Nas X - THATS WHAT I WANT (=)

28. Kodak Black - Super Gremlin (NEW)

29. NEIKED, Mae Muller & Polo G - Better Days (NEIKED x Mae Muller x Polo G) (-3)

30. Oliver Tree - Life Goes On (+11)

31. Billie Eilish - Happier Than Ever (Edit) (-2)

32. THE ANXIETY, WILLOW & Tyler Cole - Meet Me At Our Spot (+5)
33. Roddy Ricch - 25 million (NEW)

34. LISA - MONEY (-1)

35. Doja Cat - Kiss Me More (feat. SZA) (+5)

36. Juice WRLD - Wandered To LA (with Justin Bieber) (-16)

37. ROSALÍA - LA FAMA (with The Weeknd) (-5)

38. Shawn Mendes - It'll Be Okay (-15)

39. Måneskin - Beggin' (-3)

40. Adele - Can I Get It (-9)

41. Olivia Rodrigo - good 4 u (-3)

42. Lil Nas X - MONTERO (Call Me By Your Name) (+4)

43. BoyWithUke - Toxic (-1)

44. Taylor Swift - All Too Well (10 Minute Version) (Taylor Version) (From The Vault) (-20)

45. Jason Derulo - Acapulco (+2)

46. Amaarae - SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis & Moliy) (-11)

47. Tate McRae - feel like shit (-2)

48. Benson Boone - GHOST TOWN (-5)

49. Summer Walker - No Love (with SZA) (=)

50. Ariana Grande & Kid Cudi - Just Look Up (-6)Embed",today hits feat kid laroi justin bieber gayle abcdefu adele easy kid laroi stay justin bieber ed sheeran shivers elton john dua lipa cold heart pnau remix glass animals heat waves lil nas x industry baby feat jack harlow ckay love nwantiti ah ah ah acraze cherish doja cat woman sza hate u justin bieber ghost post malone right weeknd coldplay bts universe imagine dragons enemy jid juice wrld girl dreams suga bts bruno mars andersson silk sonic smokin window ed sheeran bad habits jaymes young infinity adele oh god farruko pepas fka twig tear club weeknd new doja cat need know emmy meli woman lose frequencies calum scott ava max motto new lil nas x thats want kodak black super gremlin new neiked mae muller polo g better days neiked x mae muller x polo g oliver tree life go billie eilish happy edit anxiety willow tyler cole meet spot roddy ricch million new lisa money doja cat kiss feat sza juice wrld wandered la justin bieber la fama weeknd shawn mende okay beggin adele olivia rodrigo good u lil nas x montero boywithuke toxic taylor swift minute version taylor version vault jason derulo acapulco amaarae sad girlz luv money remix feat kali uchis moliy tate mcrae feel like shit benson boone ghost town summer walker love sza ariana grande kid cudi look,{'compound': 0.9325}
Doom,Hassan,['Juice WRLD'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Doom Lyrics
(D-D-Daytrip took it to ten, hey)


No, I can't be fooled
I ain't playing by your rules
I'm known to lose my cool, but that's cool
'Cause I'm known to be too cool
There's a room full of toxic people, but it feels like it's just me and her in the room
I'd rather me die before she, so I mix drugs up tryna find my doom
Tryna find my doom, doom, doom
Tryna find my doom
Tryna find my doom, doom, doom, doom

I have a lot of troubles
I admit I'm running from 'em
Walking through Hollywood
I admit, I'm astonished
So much has happened in the last few months
From broke to rich to finding love again
I said so much has happened in the last three months
More drugs to mix, so high I don't pick up the phone no mo'
New phone, who is this? Uh-oh
You got some nerve, dumb ho
Where were you before
I could pay your mortgage?
Now all my shoes cost your car
Karma's a ugly broad
Yeah, she'll leave her scars


No, I can't be fooled
I ain't playing by your rules
I'm known to lose my cool, but that's cool
'Cause I'm known to be too cool
There's a room full of toxic people, but it feels like it's just me and her in the room
I'd rather me die before she, so I mix drugs up tryna find my doom
Tryna find my doom, doom, doom
Tryna find my doom
Tryna find my doom, doom, doom, doom

Tryna find my tomb, ended up finding you
I assumed that you were gonna leave me overconsumed
Consumed, consumed, consumed
Yeah, I'm fucked up, yeah, but you already knew
What's your favorite color besides blue? You're always blue
You always been the one for me, you knew that too
Uh, fucked up, drunk driving on the avenue
Wrist hanging out the window, let the Rollie do what it do
Keep a all black four-nickel on me too


Fucked up, drunk driving on the avenue
Wrist hanging out the window, let the Rollie do what it do
Keep a all black four-nickel on me too, on me too


No, I can't be fooled
I ain't playing by your rules
I'm known to lose my cool, but that's cool
'Cause I'm known to be too cool
There's a room full of toxic people, but it feels like it's just me and her in the room
I'd rather me die before she, so I mix drugs up tryna find my doom
Tryna find my doom, doom, doom (D-D-Daytrip took it to ten, hey)
Tryna find my doom
Tryna find my doom, doom, doom, doom36Embed",doom lyrics d d daytrip take hey fool ai play rule know lose cool cool know cool room toxic people feel like room die mix drug tryna find doom tryna find doom doom doom tryna find doom tryna find doom doom doom doom lot trouble admit run walk hollywood admit astonish happen month break rich find love say happen month drug mix high pick phone mo new phone uh oh get nerve dumb ho pay mortgage shoe cost car karma ugly broad yeah leave scar fool ai play rule know lose cool cool know cool room toxic people feel like room die mix drug tryna find doom tryna find doom doom doom tryna find doom tryna find doom doom doom doom tryna find tomb end find assume gon na leave overconsumed consumed consume consume yeah fuck yeah know favorite color blue blue know uh fuck drunk driving avenue wrist hang window let rollie black nickel fuck drunk driving avenue wrist hang window let rollie black nickel fool ai play rule know lose cool cool know cool room toxic people feel like room die mix drug tryna find doom tryna find doom doom doom d d daytrip take hey tryna find doom tryna find doom doom doom,{'compound': -0.9969}
Not Enough,Hassan,['Juice WRLD'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Not Enough Lyrics
She said it's not enough
Oh-oh-oh, uh


Now I've been drownin' in this liquor bottle, but drowning's not enough
They tell me that I won't live to see tomorrow, but I don't give a fuck
I'm running out of patience, out of pleasure, and runnin' out of luck
I'm really scared that we won't stay together
What if you run out of your love? You run out of your love

I hope you know, if I said it, baby, I meant it
Straight lovers, we ain't goin' to a friendship
Fell for you, I don't know how it happened (Uh)
When we kissin', I taste all the passion
Time worth more than money, but I'll spend
All of it on you, me and you, until the end
No talking, baby, I'm about that action
All these othеr hoes are so irrelеvant, honest
You taught me what real love is


Now I've been drownin' in this liquor bottle, but drowning's not enough
They tell me that I won't live to see tomorrow, but I don't give a fuck
I'm running out of patience, out of pleasure, and runnin' out of luck
I'm really scared that we won't stay together
What if you run out of your love? You run out of your love

[Post-Chorus]
I need you
To make it through


My bad for all of the stressful times that we had
I know you scared that I'm gon' relapse, I love that
Where the drugs at? You know that I love that
Let's go out tonight, where the clubs at?
Endless drugs, I remember dub sacks in my blunts
Now we sippin' Wock' out a double cup, yeah
That's codeine love
You fill me up like the drugs do
Ink on my brain like a tattoo
Glad we ain't meet in high school
Wasn't real love in high school

Now I've been drownin' in this liquor bottle, but drowning's not enough
They tell me that I won't live to see tomorrow, but I don't give a fuck
I'm running out of patience, out of pleasure, and runnin' out of luck
I'm really scared that we won't stay together
What if you run out of your love? You run out of your love

[Post-Chorus]
I need you
To make it through35Embed",lyrics say oh oh oh uh drownin liquor bottle drown tell wo live tomorrow fuck run patience pleasure runnin luck scared wo stay run love run love hope know say baby mean straight lover ai friendship fall know happen uh kissin taste passion time worth money spend end talking baby action hoe honest teach real love drownin liquor bottle drown tell wo live tomorrow fuck run patience pleasure runnin luck scared wo stay run love run love post chorus need bad stressful time know scare gon relapse love drug know love let tonight club endless drug remember dub sack blunt sippin wock double cup yeah codeine love fill like drug ink brain like tattoo glad ai meet high school real love high school drownin liquor bottle drown tell wo live tomorrow fuck run patience pleasure runnin luck scared wo stay run love run love post chorus need,{'compound': 0.9953}
Girl Of My Dreams (with SUGA of BTS),Hassan,"['Juice WRLD', 'SUGA', 'BTS']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Today’s Top Hits 12/17/21 (feat. The Kid LAROI & Justin Bieber) Lyrics1. GAYLE - abcdefu (=)

2. Adele - Easy On Me (+3)

3. The Kid LAROI - Stay (with Justin Bieber) (-1)

4. Ed Sheeran - Shivers (-1)

5. Elton John & Dua Lipa - Cold Heart (PNAU Remix) (+5)

6. Glass Animals - Heat Waves (=)
7. Lil Nas X - INDUSTRY BABY (feat. Jack Harlow) (=)

8. CKay - love nwantiti (ah ah ah) (+1)

9. ACRAZE & Cherish - Do It To It (+3)

10. Doja Cat - Woman (+1)

11. SZA - I Hate U (-7)

12. Justin Bieber - Ghost (+2)

13. Post Malone - One Right Now (with The Weeknd) (=)

14. Coldplay & BTS - My Universe (+4)

15. Imagine Dragons - Enemy (with JID) (+4)

16. Juice WRLD - Girl Of My Dreams (with SUGA of BTS) (-8)

17. Bruno Mars, Andersson .Paak & Silk Sonic - Smokin Out The Window (-2)

18. Ed Sheeran - Bad Habits (-1)

19. Jaymes Young - Infinity (+3)
20. Adele - Oh My God (-4)

21. Farruko - Pepas (=)

22. FKA twigs - Tears In The Club (with The Weeknd) (NEW)

23. Doja Cat - Need To Know (+5)

24. Emmy Meli - I AM WOMAN (+6)

25. Lost Frequencies & Calum Scott - Where Are You Now (=)

26. Tiësto & Ava Max - The Motto (NEW)

27. Lil Nas X - THATS WHAT I WANT (=)

28. Kodak Black - Super Gremlin (NEW)

29. NEIKED, Mae Muller & Polo G - Better Days (NEIKED x Mae Muller x Polo G) (-3)

30. Oliver Tree - Life Goes On (+11)

31. Billie Eilish - Happier Than Ever (Edit) (-2)

32. THE ANXIETY, WILLOW & Tyler Cole - Meet Me At Our Spot (+5)
33. Roddy Ricch - 25 million (NEW)

34. LISA - MONEY (-1)

35. Doja Cat - Kiss Me More (feat. SZA) (+5)

36. Juice WRLD - Wandered To LA (with Justin Bieber) (-16)

37. ROSALÍA - LA FAMA (with The Weeknd) (-5)

38. Shawn Mendes - It'll Be Okay (-15)

39. Måneskin - Beggin' (-3)

40. Adele - Can I Get It (-9)

41. Olivia Rodrigo - good 4 u (-3)

42. Lil Nas X - MONTERO (Call Me By Your Name) (+4)

43. BoyWithUke - Toxic (-1)

44. Taylor Swift - All Too Well (10 Minute Version) (Taylor Version) (From The Vault) (-20)

45. Jason Derulo - Acapulco (+2)

46. Amaarae - SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis & Moliy) (-11)

47. Tate McRae - feel like shit (-2)

48. Benson Boone - GHOST TOWN (-5)

49. Summer Walker - No Love (with SZA) (=)

50. Ariana Grande & Kid Cudi - Just Look Up (-6)Embed",today hits feat kid laroi justin bieber gayle abcdefu adele easy kid laroi stay justin bieber ed sheeran shivers elton john dua lipa cold heart pnau remix glass animals heat waves lil nas x industry baby feat jack harlow ckay love nwantiti ah ah ah acraze cherish doja cat woman sza hate u justin bieber ghost post malone right weeknd coldplay bts universe imagine dragons enemy jid juice wrld girl dreams suga bts bruno mars andersson silk sonic smokin window ed sheeran bad habits jaymes young infinity adele oh god farruko pepas fka twig tear club weeknd new doja cat need know emmy meli woman lose frequencies calum scott ava max motto new lil nas x thats want kodak black super gremlin new neiked mae muller polo g better days neiked x mae muller x polo g oliver tree life go billie eilish happy edit anxiety willow tyler cole meet spot roddy ricch million new lisa money doja cat kiss feat sza juice wrld wandered la justin bieber la fama weeknd shawn mende okay beggin adele olivia rodrigo good u lil nas x montero boywithuke toxic taylor swift minute version taylor version vault jason derulo acapulco amaarae sad girlz luv money remix feat kali uchis moliy tate mcrae feel like shit benson boone ghost town summer walker love sza ariana grande kid cudi look,{'compound': 0.9325}
wannabe,Hassan,['renforshort'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"​wannabe Lyrics
All you wanna do is cocaine
Play guitar, think that you're Cobain
Paint your nails, and you pop your pills
And you tell your friends how you copped a feel
Why you gotta roll your own smokes?
You're the only one laughing at your own jokes
You can bleach you're hair 'til your someone else
But I'll  always have you figured out

[Pre-Chorus]
(Oh) You're so full of it
(Oh) Smells like counterfeit
(Oh) Just a narcissist, faking it

Oh, you're such a wannabe (Oh)
But you can't pull that shit with me (Oh)
Nothing but a wannabe (Oh)
Boy, that shit is basic, such an imitation
Such a wannabe


Babe, you're a walking cliche
Drop me off if you wanna draw names
Play pretend with your famous friends
But I wonder why they never call on weekdays

[Pre-Chorus]
(Oh) You'll do anything
(Oh) To be relеvant
(Oh) I'm just telling it how it is


Oh, you're such a wannabe (Oh)
But you can't pull that shit with mе (Oh)
Nothing but a wannabe (Oh)
Boy, that shit is basic, such an imitation
Such a wannabe


You just want attention
Followers and mentions
Wonder what it feels like running away from real life

Oh, you're such a wannabe (Such a wannabe) (Oh)
But you can't pull that shit with me (That shit with me) (Oh)
Nothing but a wannabe (Nothing but a wannabe) (Oh)
Boy, that shit is basic, such an imitation
Such a wannabeEmbed",lyrics wanna cocaine play guitar think cobain paint nail pop pill tell friend cop feel get ta roll smoke laugh joke bleach hair til figure pre chorus oh oh smell like counterfeit oh narcissist fake oh wannabe oh pull shit oh wannabe oh boy shit basic imitation wannabe babe walk cliche drop wanna draw name play pretend famous friend wonder weekday pre chorus oh oh oh tell oh wannabe oh pull shit oh wannabe oh boy shit basic imitation wannabe want attention follower mention wonder feel like run away real life oh wannabe wannabe oh pull shit shit oh wannabe wannabe oh boy shit basic imitation wannabeembed,{'compound': -0.8885}
"fuck, i luv my friends",Hassan,['renforshort'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"​fuck, i luv my friends Lyrics
We laugh 'til we cry
Drink way too much
Stay up and waste time
'Til the sun comes up
Nowhere to go and nowhere to be
Just singin along to a ""Teenage Dream""
If I ran away tonight, I know you'd run with me


Fuck, I love my friends
Without them I'd be dead
I know they're the only ones who'll love me 'til the end
We're all such a mess
Lonely and depressed
Been so long and I can't wait to, see them all again
Fuck, I love my friends
Fuck, I love my friends

Lets both get tattoos
Watch old cartoons
Kiss random schoolboys
And schoolgirls too
Nowhere to go and nowhere to be
Just a bottle of Jack, getting drunk in the street
If I cried and made a scene
I know you'd stick by me


Fuck, I love my friends
Without them I'd be dead
I know they're the only ones who'll love me 'til the end
We're all such a mess
Lonely and depressed
Been so long and I can't wait to, see them all again
Fuck, I love my friends
Fuck, I love my friends
Fuck, I love my friendsEmbed",luv friend lyric laugh til cry drink way stay waste time til sun come singin teenage dream run away tonight know run fuck love friend dead know one love til end mess lonely depressed long wait fuck love friend fuck love friend lets tattoo watch old cartoon kiss random schoolboy schoolgirl bottle jack get drunk street cry scene know stick fuck love friend dead know one love til end mess lonely depressed long wait fuck love friend fuck love friend fuck love friendsembed,{'compound': 0.8885}
Bang My Line,Hassan,"['Pretty Pacc', '6 Dogs', 'Luke Wave']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Bang My Line Lyrics[Intro: Pretty Pacc]
I don’t want to need your company
I’ll drown my sorrows by myself
And no, I don’t need your fake love
My feelings feel things by themselves
So, don’t go banging my line
I’m not sorry
I feel something on my own
You’re a waste of my time
I’m too busy
Trying to make it on my own
[Chorus: Pretty Pacc]
Please don’t blame me
Please don’t hit me up when I get famous
Please don’t try to understand, I swear it’s complicated
Please just keep your two cents ‘less you payin’ me
This shit don’t faze me
Swear this music life been kind of crazy
Yeah they sleepin’ on my walk just like a daydream
4AM, it’s become an everyday thing (ooh)
But this shit don’t faze me

[Verse 1: Luke Wave]
Can’t help but feel so alive
This life feels like my paradise
Swear this is all by design
So why rewind?
‘Cause all these thoughts been on my mind
Been alone since the storm
Never said my goodbyes
So I flex on my hoe
Call that money exercise
And I swear I don’t need you so don’t bang my line

[Pre-Chorus: Pretty Pacc]
Please don’t bang my line
Think I’m losing my mind
Can we fall out of time?
Can we leave it behind?
[Chorus: Pretty Pacc & 6 Dogs]
Please don’t blame me
Please don’t hit me up when I get famous
Please don’t try to understand, I swear it’s complicated
Please just keep your two cents ‘less you payin’ me
This shit don’t faze me
Swear this music life been kind of crazy
Yeah they sleepin’ on my walk just like a daydream
4AM, it’s become an every day thing (Yeah, yeah)
But this shit don’t faze me

[Verse 2: 6 Dogs & Both]
No, it don’t faze me
‘Cause I be goin’ crazy
I was in my head
Now I’m in my bag, daily
I’m used to being lonely
Love my own company
When I was nineteen, yeah
I started my own company
If you don’t respect it, you can just get lost
Life is a blessing, watch as we blast off
Whip around in the Tesla
Windows down, like what’s up

[Pre-Chorus: Pretty Pacc]
Please don’t bang my line
Think I’m losing my mind
Can we fall out of time?
Can we leave it behind?
[Chorus: Pretty Pacc]
Please don’t blame me
Please don’t hit me up when I get famous
Please don’t try to understand, I swear it’s complicated
Please just keep your two cents ‘less you payin’ me
This shit don’t faze me
Swear this music life been kind of crazy
Yeah they sleepin’ on my walk just like a daydream
4AM, it’s become an everyday thing
But this shit don’t faze meEmbed",bang line pretty pacc want need company drown sorrow need fake love feeling feel thing bang line sorry feel waste time busy try chorus pretty pacc blame hit famous try understand swear complicated cent payin shit faze swear music life kind crazy yeah sleepin walk like daydream everyday thing ooh shit faze verse luke wave help feel alive life feel like paradise swear design rewind cause thought mind storm say goodbyes flex hoe money exercise swear need bang line pre chorus pretty pacc bang line think lose mind fall time leave chorus pretty pacc dogs blame hit famous try understand swear complicated cent payin shit faze swear music life kind crazy yeah sleepin walk like daydream day thing yeah yeah shit faze verse dogs faze cause crazy head bag daily lonely love company nineteen yeah start company respect lose life blessing watch blast whip tesla windows like pre chorus pretty pacc bang line think lose mind fall time leave chorus pretty pacc blame hit famous try understand swear complicated cent payin shit faze swear music life kind crazy yeah sleepin walk like daydream everyday thing shit faze meembe,{'compound': 0.93}
NEVER MET! (feat. Glitch Gum),Hassan,"['CMTEN', 'Glitch Gum']",straight vibin,62aap5B2EcMMcQ3DWNoB6L,"NEVER MET! Lyrics[Chorus: CMTEN]
You know I missed you from the very day you went away
I feel like Laura Les, saying, ""I love you"" on the plane
And even though it's been a week I still think of your face
Blew all my money on a trivial video game
[Verse 1: CMTEN]
I dunk my head in the water so I can feel something
And now I'm thinking of all the times that my phone would ring
I reminisce and remember all of the songs we'd sing
But now I hate every one of the songs we used to sing
Can you believe that I didn't think you would leave me?
And now I can't trust anyone 'cause you just left me
I wish I never responded to all those texts
It'd be better if we had just never met
Can you believe that I'm missing you even though
When I was with you, I never felt more alone
I wish I never responded to all those texts
It'd be better if we had just never met
[Verse 2: Glitch Gum]
(A-a-a-a-a-a-a-a-Glitch Gum)
I wish we never met
We broke up on PictoChat, crying on my DS
I went to a birthday party for one of her friends
And now that this is over I can hate them, I don't have to pretend
Remember when I called you my Barbie, and I was Ken
That was like the cringiest thing that I've ever said
When I was with you I just felt more alone
I just hope I'm bad enough to call about
When you're on your phone


This Glitch Gum guy is so annoying
He keeps asking me to listen to these bands I can't even pronounce
And now he's making music with this guy named 'CMTEN'?
I'm so done with him

[Bridge: Glitch Gum]
Everything you said about me is just lies
I can't believe you put mascara on my eyes
I hope you don't listen and see past my disguise
'Cause I'm still kinda hurt that you're not in my life

[Chorus: CMTEN]
You know I missed you from the very day you went away
I feel like Laura Les, saying, ""I love you"" on the plane
And even though it's been a week I still think of your face
Blew all my money on a trivial video game
[Outro: CMTEN]
I wish I never responded to all those texts
It'd be better if we had just never met
I wish I never responded to all those texts
It'd be better if we had just never met11Embed",met cmten know miss day go away feel like laura les say love plane week think face blow money trivial video game verse cmten dunk head water feel think time phone ring reminisce remember song sing hate song sing believe think leave trust leave wish respond text well meet believe miss feel wish respond text well meet verse glitch gum glitch gum wish meet break pictochat cry ds go birthday party friend hate pretend remember call barbie ken like cringi thing say feel hope bad phone glitch gum guy annoying keep ask listen band pronounce make music guy name cmten bridge glitch gum say lie believe mascara eye hope listen past disguise kinda hurt life chorus cmten know miss day go away feel like laura les say love plane week think face blow money trivial video game outro cmten wish respond text well meet wish respond text well,{'compound': 0.9726}
lead me on,Hassan,['sammy rash'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"Lead Me On Lyrics
She like to lead me on
She never show me off
This that don't tell anybody that we talk
I say I'll play along, but girl give me a shot
When they bring me up you say that you forgot


She said let's keep it lowkey
Act like you don't know me
Anytime her friends around she treat me like a homie
And I could never take her out, we stay at home
Say I wanna date around, she sayin' no
But she can have another guy, she got like five
Say thеy're like her brothеr I know that's a lie
Quiet like a lullaby
Keep it undercover right
But I just wanna sing so loud

She like to lead me on
She never show me off
This that don't tell anybody that we talk
I say I'll play along, but girl give me a shot
When they bring me up you say that you forgot


She said let's keep it lowkey
But who am I hiding from
Girl I've been tossing, turning, hurting, and I'm tired of
All the fake things we do
And I hate being used
If I stay then I lose all my pride
But I wanna take a pic with you, a trip with you, and show you the sun
This feel feel like middle school
I'm kissing you but holding my tongue
I feel invisible
But if I say a little more
Then she might call it quits, I'll still be missing what I'm wishin' for


She like to lead me on
She never show me off
This that don't tell anybody that we talk
I say I'll play along, but girl give me a shot
When they bring me up you say that you forgot
She like to lead me on
She never show me off
This that don't tell anybody that we talk
I say I'll play along, but girl give me a shot
When they bring me up you say that you forgot

But why am I wastin' my time
I can't say that you're mine
All my friends say I'm blind and it's true
Try to open my eyes
I might go, no I lied
If I leave you behind then I lose


She like to lead me on
She never show me off
This that don't tell anybody that we talk
I say I'll play along, but girl give me a shot
When they bring me up you say that you forgotEmbed",lead lyric like lead tell anybody talk play girl shot bring forget say let lowkey act like know anytime friend treat like homie stay home wanna date sayin guy get like like know lie quiet like lullaby undercover right wanna sing loud like lead tell anybody talk play girl shot bring forget say let lowkey hide girl toss turn hurt tired fake thing hate stay lose pride wanna pic trip sun feel feel like middle school kiss hold tongue feel invisible little quit miss wishin like lead tell anybody talk play girl shot bring forget like lead tell anybody talk play girl shot bring forget wastin time friend blind true try open eye lie leave lose like lead tell anybody talk play girl shot bring forgotembe,{'compound': 0.9705}
IT'S OK,Hassan,['Daniyel'],straight vibin,62aap5B2EcMMcQ3DWNoB6L,"IT’S OK Lyrics
It's hard
It's okay
Ha-ha, yeah


It's okay
I guess you're back to your ways again
I'm back in my place
Place that I'll call my brain (It's hard)

Young nigga, selling love like it's drugs for you (It's drugs)
Young nigga, gave my all, wasn't enough for you (Wasn't enough)
Kind of funny 'cause my all was way too much for you (Too much)
Went through the dirt and the dust for you, uh-uh-uh (The dust)
I was afraid, afraid of being on my own
I was afraid, afraid of being all alone
I was afraid, afraid to walk this road
Alone with no hand to hold
How you did me how you did? It's beyond me (Beyond me)
I can see, you don't wanna feel no things (Ayy)
You at home alone poppin' edamames (Beans, beans)
Yeah, and I peep the scars on your body
I see the dirt on your laundry
I see the skeletons all in your closet
I see the tears that drip like a faucet
I see thе fear that stop you from loving
That's why you won't call me
And I ain't pressеd
Yeah, okay, I'm pressed
I wish you the best
I fuckin' guess


It's okay
I guess you're back to your ways again
I'm back in my place
Place that I'll call my brain

It's okay
It's okay
It's okay
It's okay1Embed",ok lyrics hard okay ha ha yeah okay guess way place place brain hard young nigga sell love like drug drug young nigga give kind funny way go dirt dust uh uh uh dust afraid afraid afraid afraid afraid afraid walk road hand hold wanna feel thing ayy home poppin edamame beans bean yeah peep scar body dirt laundry skeleton closet tear drip like faucet fear stop love wo ai yeah okay press wish good fuckin guess okay guess way place place brain okay okay okay,{'compound': 0.9894}
